"Overall","Player","Position","Pos Rank","Tier","Auction (Out of $200)"
"1","Jahmyr Gibbs","RB","1","1","$58"
"2","Bijan Robinson","RB","2","1","$57"
"3","Ja'Marr Chase","WR","1","1","$56"
"4","Saquon Barkley","RB","3","2","$52"
"5","Justin Jefferson","WR","2","2","$51"
"6","Puka Nacua","WR","3","2","$50"
"7","CeeDee Lamb","WR","4","2","$49"
"8","Christian McCaffrey","RB","4","2","$48"
"9","Amon-Ra St. Brown","WR","5","2","$47"
"10","Jaxon Smith-Njigba","WR","6","3","$44"
"11","Malik Nabers","WR","7","3","$43"
"12","De'Von Achane","RB","5","3","$42"
"13","Ashton Jeanty","RB","6","3","$41"
"14","Nico Collins","WR","8","3","$40"
"15","Brian Thomas Jr.","WR","9","3","$39"
"16","Derrick Henry","RB","7","3","$38"
"17","A.J. Brown","WR","10","4","$34"
"18","Drake London","WR","11","4","$33"
"19","Josh Jacobs","RB","8","4","$32"
"20","Bucky Irving","RB","9","4","$31"
"21","Jonathan Taylor","RB","10","4","$30"
"22","Ladd McConkey","WR","12","4","$29"
"23","Brock Bowers","TE","1","4","$28"
"24","Tee Higgins","WR","13","5","$25"
"25","Kyren Williams","RB","11","5","$24"
"26","Trey McBride","TE","2","5","$23"
"27","Tyreek Hill","WR","14","5","$22"
"28","Garrett Wilson","WR","15","5","$21"
"29","Chase Brown","RB","12","5","$20"
"30","Josh Allen","QB","1","5","$19"
"31","Lamar Jackson","QB","2","5","$19"
"32","Davante Adams","WR","16","6","$17"
"33","Terry McLaurin","WR","17","6","$16"
"34","James Cook","RB","13","6","$15"
"35","Jayden Daniels","QB","3","6","$15"
"36","Mike Evans","WR","18","6","$14"
"37","Kenneth Walker III","RB","14","6","$13"
"38","Marvin Harrison Jr.","WR","19","6","$12"
"39","Breece Hall","RB","15","6","$12"
"40","Jalen Hurts","QB","4","6","$11"
"41","George Kittle","TE","3","7","$9"
"42","DK Metcalf","WR","20","7","$8"
"43","Alvin Kamara","RB","16","7","$8"
"44","Rashee Rice","WR","21","7","$7"
"45","Chuba Hubbard","RB","17","7","$6"
"46","Joe Burrow","QB","5","7","$6"
"47","Xavier Worthy","WR","22","7","$5"
"48","Sam LaPorta","TE","4","7","$5"
"49","David Montgomery","RB","18","8","$3"
"50","Zay Flowers","WR","23","8","$3"
"51","Courtland Sutton","WR","24","8","$2"
"52","Patrick Mahomes","QB","6","8","$2"
"53","Tony Pollard","RB","19","8","$2"
"54","Jameson Williams","WR","25","8","$1"
"55","T.J. Hockenson","TE","5","8","$1"
"56","Aaron Jones","RB","20","8","$1"
"57","Chris Godwin","WR","26","8","$1"
"58","Isiah Pacheco","RB","21","8","$1"
"59","Jake Ferguson","TE","6","8","$1"
"60","Baker Mayfield","QB","7","8","$1"
